City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
522,Kotelnich,RU,58.31,48.35,33.1,94,69,8.79,broken clouds
523,Ghanzi,BW,-21.57,21.78,75.29,20,0,11.83,clear sky
524,Mubi,NG,10.27,13.26,74.59,33,76,1.61,broken clouds
525,Rio Blanco,MX,18.83,-97.15,70.57,75,92,3.71,overcast clouds
526,Wad Rawah,SD,15.16,33.14,84.27,19,0,10.54,clear sky
527,Salamanca,ES,40.83,-6.0,44.01,93,4,3.27,clear sky
528,Konstantinovka,RU,49.62,127.98,28.22,95,91,8.05,overcast clouds
529,Amuntai,ID,-2.42,115.25,75.25,93,30,1.28,scattered clouds
530,Veydelevka,RU,50.15,38.45,40.77,69,2,9.98,clear sky
531,Sinegorye,RU,62.08,150.48,13.84,80,4,1.57,clear sky
532,Black River,JM,18.03,-77.85,82.0,83,68,2.89,broken clouds
533,Zhangye,CN,38.93,100.45,44.64,47,0,7.58,clear sky
534,Krasnoarmeysk,RU,51.02,45.7,33.64,85,7,7.18,clear sky
535,Margate,GB,51.38,1.39,51.01,78,58,4.0,broken clouds
536,Kamaishi,JP,39.27,141.88,54.82,65,40,11.1,scattered clouds
537,Jizan,SA,17.33,42.67,77.67,61,0,1.54,clear sky
538,Avaton,GR,40.97,24.8,60.01,95,100,5.84,overcast clouds
539,Plettenberg Bay,ZA,-34.05,23.37,61.36,85,100,2.95,overcast clouds
540,Kununurra,AU,-15.77,128.73,88.72,48,63,5.23,broken clouds
541,Port Macquarie,AU,-31.43,152.92,71.01,73,16,1.99,few clouds
542,Halifax,CA,44.65,-63.57,39.99,79,20,5.79,few clouds
543,Kruszwica,PL,52.68,18.33,48.0,87,98,8.39,light rain
544,Bairiki,KI,1.33,172.98,81.12,68,1,5.73,clear sky
545,Rudsar,IR,37.14,50.29,63.48,70,41,2.62,scattered clouds
546,Lima,PE,-12.04,-77.03,63.0,91,29,5.01,scattered clouds
547,Xining,CN,36.62,101.77,32.09,79,0,1.88,clear sky
548,Syedove,UA,47.08,38.16,51.01,53,30,23.0,scattered clouds
549,San Francisco,US,37.77,-122.42,75.0,29,0,1.99,clear sky
550,Mayo,US,38.89,-76.51,68.0,94,100,2.35,overcast clouds
551,Rafraf,TN,37.19,10.18,64.33,71,5,16.2,clear sky
552,Elmina,GH,5.09,-1.35,77.88,88,43,7.16,scattered clouds
553,Lappeenranta,FI,61.06,28.19,48.0,89,100,11.97,overcast clouds
554,Bubaque,GW,11.28,-15.83,83.43,78,66,12.24,broken clouds
555,Puerto Varas,CL,-41.32,-72.99,48.56,64,99,6.4,overcast clouds
556,Pangkalanbuun,ID,-2.68,111.62,76.89,90,91,2.24,light rain
557,Taoudenni,ML,22.68,-3.98,83.08,16,23,11.25,few clouds
558,Luang Prabang,LA,19.89,102.13,72.28,69,100,2.66,moderate rain
559,Ariquemes,BR,-9.91,-63.04,83.86,63,99,2.35,light rain
560,Tres Arroyos,AR,-38.37,-60.28,52.61,68,89,6.08,light rain
561,Santa Vitoria Do Palmar,BR,-33.52,-53.37,59.11,90,89,16.06,light rain
562,Zheshart,RU,62.07,49.57,41.45,89,89,11.39,overcast clouds
563,Rodrigues Alves,BR,-7.74,-72.65,86.05,60,52,2.89,broken clouds
564,Kumluca,TR,36.37,30.29,68.02,67,1,3.33,clear sky
565,Gemena,CD,3.25,19.77,71.76,98,100,2.06,moderate rain
566,Deputatskiy,RU,69.3,139.9,-5.93,91,86,1.1,overcast clouds
567,Curuguaty,PY,-24.47,-55.69,74.62,49,0,3.67,clear sky
568,Nanyang,CN,32.99,112.53,53.37,56,57,4.16,broken clouds
569,Zubtsov,RU,56.18,34.59,42.03,92,6,7.25,clear sky
570,Eyl,SO,7.98,49.82,77.79,76,66,5.79,broken clouds
